Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-06-02 0:00:00,3,8,160,250,150,225
2018-06-02 1:00:00,12,2,200,50,750,375
2018-06-02 2:00:00,-7,4,120,50,300,75
2018-06-02 3:00:00,18,10,200,250,150,225
2018-06-02 4:00:00,-3,10,120,50,600,375
2018-06-02 5:00:00,-2,10,80,250,600,150
2018-06-02 6:00:00,10,8,200,50,150,375
2018-06-02 7:00:00,-2,6,40,50,600,300
2018-06-02 8:00:00,-3,6,120,50,600,150
2018-06-02 9:00:00,0,4,80,200,750,375
2018-06-02 10:00:00,18,8,120,200,150,225
2018-06-02 11:00:00,13,2,40,150,450,300
2018-06-02 12:00:00,-16,10,40,150,450,375
2018-06-02 13:00:00,4,4,200,100,150,300
2018-06-02 14:00:00,-3,2,200,50,600,375
2018-06-02 15:00:00,16,4,200,200,300,75
2018-06-02 16:00:00,-8,8,160,50,150,150
2018-06-02 17:00:00,8,4,160,200,750,150
2018-06-02 18:00:00,8,10,160,150,300,225
2018-06-02 19:00:00,11,10,120,100,150,75
2018-06-02 20:00:00,9,4,120,200,450,300
2018-06-02 21:00:00,-6,8,200,100,750,375
2018-06-02 22:00:00,-1,8,80,50,450,300
2018-06-02 23:00:00,1,4,120,250,300,75
