Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-01-01 00:00:01,-17,6,160,100,150,75
2018-01-02 00:00:01,14,4,160,100,750,225
2018-01-03 00:00:01,18,6,80,50,600,75
2018-01-04 00:00:01,15,4,120,50,150,225
2018-01-05 00:00:01,-9,4,200,100,600,150
2018-01-06 00:00:01,2,10,120,50,450,75
2018-01-07 00:00:01,-5,10,200,150,450,150
2018-01-08 00:00:01,-14,10,40,250,150,150
2018-01-09 00:00:01,17,8,200,200,750,150
2018-01-10 00:00:01,-9,6,120,200,450,375
2018-01-11 00:00:01,6,6,80,50,150,150
2018-01-12 00:00:01,-17,10,80,50,300,75
2018-01-13 00:00:01,7,6,200,150,750,300
2018-01-14 00:00:01,7,8,200,50,600,150
2018-01-15 00:00:01,-10,4,40,200,450,75
2018-01-16 00:00:01,8,10,80,50,600,300
2018-01-17 00:00:01,17,2,160,100,450,225
2018-01-18 00:00:01,11,8,160,250,150,300
2018-01-19 00:00:01,16,10,40,250,750,225
2018-01-20 00:00:01,-6,2,40,100,450,75
2018-01-21 00:00:01,12,8,40,250,150,375
2018-01-22 00:00:01,3,2,80,150,600,375
2018-01-23 00:00:01,8,6,160,50,300,225
2018-01-24 00:00:01,16,4,200,200,450,300
2018-01-25 00:00:01,-13,6,40,100,300,225
2018-01-26 00:00:01,3,10,40,50,750,225
2018-01-27 00:00:01,-6,2,200,100,300,150
2018-01-28 00:00:01,11,6,200,50,750,375
2018-01-29 00:00:01,-9,8,120,50,300,75
2018-01-30 00:00:01,0,10,120,200,750,225
2018-01-31 00:00:01,-9,8,120,200,300,375
2018-02-01 00:00:01,-9,6,160,100,600,75
2018-02-02 00:00:01,-9,2,40,250,300,375
2018-02-03 00:00:01,4,2,160,50,750,75
2018-02-04 00:00:01,-17,6,80,100,450,300
2018-02-05 00:00:01,-4,4,40,250,750,75
2018-02-06 00:00:01,18,4,120,250,150,300
2018-02-07 00:00:01,-13,6,120,150,750,375
2018-02-08 00:00:01,-15,8,160,50,750,225
2018-02-09 00:00:01,-15,8,200,250,300,225
2018-02-10 00:00:01,-19,4,200,100,150,375
2018-02-11 00:00:01,10,10,40,250,150,375
2018-02-12 00:00:01,18,2,160,250,450,75
2018-02-13 00:00:01,-17,10,40,50,300,150
2018-02-14 00:00:01,11,10,40,200,150,375
2018-02-15 00:00:01,-10,6,80,150,300,150
2018-02-16 00:00:01,11,6,40,50,300,150
2018-02-17 00:00:01,16,4,200,250,600,300
2018-02-18 00:00:01,-1,8,40,150,450,225
2018-02-19 00:00:01,-10,10,160,100,450,75
2018-02-20 00:00:01,12,6,200,50,600,300
2018-02-21 00:00:01,-5,4,40,150,300,225
2018-02-22 00:00:01,4,10,200,100,600,375
2018-02-23 00:00:01,16,10,120,200,150,375
2018-02-24 00:00:01,8,2,160,100,450,375
2018-02-25 00:00:01,9,6,120,100,450,300
2018-02-26 00:00:01,11,10,80,150,300,300
2018-02-27 00:00:01,10,4,120,100,750,225
2018-02-28 00:00:01,-16,8,120,50,600,375
2018-03-01 00:00:01,-5,4,200,100,150,300
2018-03-02 00:00:01,0,10,40,50,750,375
2018-03-03 00:00:01,12,10,200,150,600,225
2018-03-04 00:00:01,9,6,40,200,600,300
2018-03-05 00:00:01,-6,2,160,250,300,225
2018-03-06 00:00:01,-8,6,160,150,150,150
2018-03-07 00:00:01,-15,8,200,50,450,150
2018-03-08 00:00:01,6,4,200,250,300,150
2018-03-09 00:00:01,1,2,120,200,750,75
2018-03-10 00:00:01,5,6,200,150,300,225
2018-03-11 00:00:01,2,8,160,150,150,375
2018-03-12 00:00:01,13,4,160,50,150,150
2018-03-13 00:00:01,7,2,160,250,150,150
2018-03-14 00:00:01,0,6,40,150,450,75
2018-03-15 00:00:01,16,2,80,200,450,300
2018-03-16 00:00:01,-16,6,80,50,750,150
2018-03-17 00:00:01,7,4,40,250,150,300
2018-03-18 00:00:01,-16,2,120,100,450,300
2018-03-19 00:00:01,14,6,200,200,300,150
2018-03-20 00:00:01,1,6,200,200,450,375
2018-03-21 00:00:01,19,2,200,100,150,75
2018-03-22 00:00:01,-3,10,80,250,450,300
2018-03-23 00:00:01,-13,4,160,150,150,150
2018-03-24 00:00:01,7,10,40,100,300,300
2018-03-25 00:00:01,-15,4,200,200,600,150
2018-03-26 00:00:01,18,10,80,150,750,300
2018-03-27 00:00:01,10,4,80,200,750,300
2018-03-28 00:00:01,-4,8,200,150,750,225
2018-03-29 00:00:01,6,8,40,50,450,150
2018-03-30 00:00:01,7,10,80,100,300,75
2018-03-31 00:00:01,-8,4,80,200,600,300
2018-04-01 00:00:01,-6,6,120,50,150,375
2018-04-02 00:00:01,11,2,200,50,300,300
2018-04-03 00:00:01,-9,4,40,50,600,225
2018-04-04 00:00:01,-3,2,120,50,750,375
2018-04-05 00:00:01,-11,10,80,200,450,150
2018-04-06 00:00:01,-11,10,120,200,150,150
2018-04-07 00:00:01,0,4,80,250,600,375
2018-04-08 00:00:01,19,10,80,50,300,150
2018-04-09 00:00:01,-12,2,160,150,450,300
2018-04-10 00:00:01,17,8,80,250,750,300
2018-04-11 00:00:01,-12,8,40,50,150,75
2018-04-12 00:00:01,8,10,160,200,150,375
2018-04-13 00:00:01,8,6,80,50,750,375
2018-04-14 00:00:01,8,10,80,100,300,300
2018-04-15 00:00:01,-19,4,40,250,150,75
2018-04-16 00:00:01,-14,6,160,250,600,75
2018-04-17 00:00:01,13,4,160,100,450,300
2018-04-18 00:00:01,-3,10,200,100,600,225
2018-04-19 00:00:01,2,2,120,150,750,75
2018-04-20 00:00:01,4,10,120,250,300,375
2018-04-21 00:00:01,1,4,120,150,150,150
2018-04-22 00:00:01,-16,6,40,100,750,375
2018-04-23 00:00:01,0,8,120,250,300,225
2018-04-24 00:00:01,-18,8,80,200,300,75
2018-04-25 00:00:01,-19,4,80,50,450,300
2018-04-26 00:00:01,-12,4,40,200,750,225
2018-04-27 00:00:01,17,2,80,150,600,150
2018-04-28 00:00:01,2,2,120,150,300,75
2018-04-29 00:00:01,-11,4,200,150,450,300
2018-04-30 00:00:01,0,6,120,100,300,375
2018-05-01 00:00:01,-9,10,160,100,300,75
2018-05-02 00:00:01,13,2,40,150,750,75
2018-05-03 00:00:01,5,4,200,250,450,150
2018-05-04 00:00:01,-5,6,40,150,600,375
2018-05-05 00:00:01,10,6,80,200,600,150
2018-05-06 00:00:01,-10,10,160,50,450,150
2018-05-07 00:00:01,18,4,120,100,150,300
2018-05-08 00:00:01,-13,4,160,50,150,300
2018-05-09 00:00:01,-16,2,80,50,750,375
2018-05-10 00:00:01,10,8,80,200,750,375
2018-05-11 00:00:01,0,10,40,250,300,150
2018-05-12 00:00:01,2,8,120,50,300,300
2018-05-13 00:00:01,-14,6,120,150,600,150
2018-05-14 00:00:01,1,10,80,200,450,300
2018-05-15 00:00:01,-19,8,120,250,750,150
2018-05-16 00:00:01,-9,2,200,200,300,150
2018-05-17 00:00:01,0,2,40,200,300,375
2018-05-18 00:00:01,4,10,200,200,600,300
2018-05-19 00:00:01,12,8,80,50,300,300
2018-05-20 00:00:01,7,6,40,100,450,375
2018-05-21 00:00:01,-13,6,200,200,750,300
2018-05-22 00:00:01,-10,6,80,100,750,75
2018-05-23 00:00:01,-5,6,120,100,750,375
2018-05-24 00:00:01,-4,10,120,50,600,300
2018-05-25 00:00:01,-9,4,120,50,150,225
2018-05-26 00:00:01,-10,4,200,100,750,75
2018-05-27 00:00:01,9,2,160,50,300,300
2018-05-28 00:00:01,-2,10,120,200,600,150
2018-05-29 00:00:01,0,8,80,250,600,150
2018-05-30 00:00:01,-8,4,160,200,600,225
2018-05-31 00:00:01,-6,6,80,200,600,150
2018-06-01 00:00:01,6,2,160,200,600,225
2018-06-02 00:00:01,-11,10,200,200,150,75
2018-06-03 00:00:01,0,8,200,250,600,300
2018-06-04 00:00:01,-15,6,160,250,450,375
2018-06-05 00:00:01,-13,4,200,250,750,75
2018-06-06 00:00:01,18,6,120,150,150,150
2018-06-07 00:00:01,-2,2,40,50,450,150
2018-06-08 00:00:01,14,6,160,200,150,225
2018-06-09 00:00:01,13,8,160,200,150,150
2018-06-10 00:00:01,10,4,40,200,750,150
2018-06-11 00:00:01,9,6,160,200,450,150
2018-06-12 00:00:01,-19,6,80,50,750,75
2018-06-13 00:00:01,5,2,80,250,150,375
2018-06-14 00:00:01,-10,8,200,50,600,225
2018-06-15 00:00:01,11,6,40,200,450,375
