Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-01-1,0,2,160,50,750,300
2018-01-2,-5,10,200,50,150,375
2018-01-3,-5,10,160,200,450,150
2018-01-4,-10,2,160,250,150,225
2018-01-5,19,2,80,50,750,75
2018-01-6,-17,2,160,200,600,300
2018-01-7,3,8,80,100,600,375
2018-01-8,9,2,40,150,750,225
2018-01-9,-3,8,160,200,150,150
2018-01-10,9,6,120,50,300,375
2018-01-11,4,10,120,50,300,75
2018-01-12,5,6,200,150,750,375
2018-01-13,-18,4,120,100,600,75
2018-01-14,15,6,40,100,750,375
2018-01-15,1,2,160,150,450,225
2018-01-16,-2,4,80,100,450,75
2018-01-17,-14,2,120,150,600,300
2018-01-18,-11,4,160,50,300,225
2018-01-19,16,4,120,250,750,375
2018-01-20,0,8,40,250,750,75
2018-01-21,16,4,40,100,300,225
2018-01-22,-13,6,200,50,150,225
2018-01-23,18,2,200,250,300,375
2018-01-24,17,2,80,200,450,150
2018-01-25,-3,2,40,150,300,300
2018-01-26,-13,10,160,100,150,150
2018-01-27,-18,2,160,100,300,75
2018-01-28,18,6,40,100,450,225
2018-01-29,-8,6,80,100,750,375
2018-01-30,-19,2,80,100,750,150
2018-01-31,10,6,40,150,750,75
2018-02-1,-16,2,160,100,300,300
2018-02-2,10,6,200,50,750,75
2018-02-3,15,6,80,50,750,75
2018-02-4,-5,10,200,50,450,225
2018-02-5,0,4,80,50,600,300
2018-02-6,-1,8,160,250,450,225
2018-02-7,-2,10,80,50,750,75
2018-02-8,16,6,80,200,150,75
2018-02-9,-9,6,160,100,750,375
2018-02-10,19,8,200,150,750,225
2018-02-11,11,6,200,100,300,75
2018-02-12,10,10,160,100,450,300
2018-02-13,8,6,120,200,300,300
2018-02-14,-2,6,160,100,300,75
2018-02-15,13,8,200,250,600,225
2018-02-16,2,6,200,100,600,75
2018-02-17,-1,8,40,150,600,375
2018-02-18,19,2,200,150,150,375
2018-02-19,18,10,40,50,450,300
2018-02-20,-8,6,120,100,450,225
2018-02-21,-16,4,120,150,600,300
2018-02-22,13,6,200,50,750,75
2018-02-23,10,10,160,200,750,225
2018-02-24,-15,10,120,200,300,75
2018-02-25,-4,10,40,100,450,75
2018-02-26,-14,6,200,100,600,375
2018-02-27,-5,2,160,50,600,75
2018-02-28,15,4,80,100,450,300
